CenBlock10,CenTract10,NTA10,PUMA10,CenUnits10
360050063002017,36005006300,BX63,3708,0
360050063002018,36005006300,BX63,3708,0
360050063002019,36005006300,BX63,3708,0
360050063002020,36005006300,BX63,3708,0
360050063002021,36005006300,BX63,3708,0
360050063002022,36005006300,BX63,3708,0
360050063002023,36005006300,BX63,3708,0
360050063002024,36005006300,BX63,3708,55
360050063002025,36005006300,BX63,3708,43
360050063002026,36005006300,BX63,3708,0
360050063002027,36005006300,BX63,3708,0
360050063002028,36005006300,BX63,3708,0
360050063002029,36005006300,BX63,3708,0
360050063002030,36005006300,BX63,3708,0
360050063002031,36005006300,BX63,3708,0
360050063002032,36005006300,BX63,3708,0
360050063002033,36005006300,BX63,3708,0
360050063002034,36005006300,BX63,3708,0
360050063002035,36005006300,BX63,3708,0
360050063002036,36005006300,BX63,3708,0
360050063002037,36005006300,BX63,3708,0
360050063002038,36005006300,BX63,3708,0
360050063002039,36005006300,BX63,3708,0
360050063003000,36005006300,BX63,3708,0
360050063003001,36005006300,BX63,3708,131
360050063003002,36005006300,BX63,3708,169
360050063004000,36005006300,BX63,3708,246
360050063004001,36005006300,BX63,3708,165
360050063005000,36005006300,BX63,3708,347
360050063005001,36005006300,BX63,3708,0
360050063005002,36005006300,BX63,3708,0
360050063006000,36005006300,BX63,3708,0
360050063006001,36005006300,BX63,3708,630
360050063006002,36005006300,BX63,3708,0
360050063006003,36005006300,BX63,3708,0
360050063006004,36005006300,BX63,3708,98
360050064001000,36005006400,BX08,3709,178
360050064001001,36005006400,BX08,3709,167
360050064001002,36005006400,BX08,3709,165
360050064001003,36005006400,BX08,3709,101
360050064001004,36005006400,BX08,3709,0
360050064002000,36005006400,BX08,3709,256
360050064003000,36005006400,BX08,3709,223
360050064003001,36005006400,BX08,3709,1
360050064004000,36005006400,BX08,3709,126
360050064004001,36005006400,BX08,3709,150
360050064004002,36005006400,BX08,3709,40
360050065001000,36005006500,BX34,3710,0
360050065001001,36005006500,BX34,3710,143
360050065001002,36005006500,BX34,3710,0
360050065001003,36005006500,BX34,3710,0
360050065001004,36005006500,BX34,3710,14
360050065001005,36005006500,BX34,3710,189
360050065002000,36005006500,BX34,3710,0
360050065002001,36005006500,BX34,3710,207
360050065002002,36005006500,BX34,3710,3
360050065002003,36005006500,BX34,3710,215
360050065002004,36005006500,BX34,3710,648
360050065003000,36005006500,BX34,3710,276
360050065004000,36005006500,BX34,3710,0
360050065004001,36005006500,BX34,3710,102
360050065004002,36005006500,BX34,3710,0
360050065004003,36005006500,BX34,3710,123
360050065004004,36005006500,BX34,3710,0
360050067001000,36005006700,BX34,3710,28
