address,city,st,zip,street,researched,corrected_borough,corrected_hn,corrected_street
145 145th Pl,College Point,NY,11356,145th Pl,,4,145,145th Pl
145 145th Rd,Springfield Gardens,NY,11413,145th Rd,,4,145,145th Rd
146 147th Ave,Jamaica,NY,11434,147th Ave,,4,146,147th Ave
1464 Avenue M,Brooklyn,NY,11230,Avenue M,,3,1464,Avenue M
147 1/2 E 103rd St,New York,NY,10029,1/2 E 103rd St,,1,1471/2,East 103 Street
147 147th Dr,Rosedale,NY,11422,147th Dr,,4,147,147th Dr
147 148th St,Jamaica,NY,11435,148th St,,4,147,148th St
147 59th St,Arverne,NY,11692,59th St,,4,147,59th St
148 148th Ave,Springfield Gardens,NY,11413,148th Ave,,4,148,148th Ave
148 148th Rd,Rosedale,NY,11422,148th Rd,,4,148,148th Rd
14800 134th St,Jamaica,NY,11430,134th St,,4,14800,134th St
149 149th Rd,Rosedale,NY,11422,149th Rd,,4,149,149th Rd
14940 78th St,Howard Beach,NY,11414,78th St,,4,14940,78th St
15 15th Ave,Bayside,NY,11360,15th Ave,,4,15,15th Ave
15 15th Dr,Whitestone,NY,11357,15th Dr,,4,15,15th Dr
15 18th Ave,College Point,NY,11356,18th Ave,,4,15,18th Ave
15 Atlantic Cmns,Brooklyn,NY,11217,Atlantic Cmns,,3,15,Atlantic Commons
15 State Plz,New York,NY,10004,State Plz,,1,15,STATE ST PLAZA
15 Union Sq E,New York,NY,10003,Union Sq E,,1,15,Union Square West
15 Williams Ct,Far Rockaway,NY,11691,Williams Ct,,4,15,William Ct
150 150th Ave,South Ozone Park,NY,11420,150th Ave,,4,150,150th Ave
150 155th St,Jamaica,NY,11432,155th St,,4,150,155th St
150 20th Rd,Whitestone,NY,11357,20th Rd,,4,150,20th Rd
150 6th Ave,Whitestone,NY,11357,6th Ave,,4,150,6th Ave
150 Eldert Ln,Woodhaven,NY,11421,Eldert Ln,,3,150,Eldert Lane
151 153rd Pl,Jamaica,NY,11434,153rd Pl,,4,151,153rd Pl
151 153rd St,Flushing,NY,11358,153rd St,,4,151,153rd St
152 Eldert Ln,Woodhaven,NY,11421,Eldert Ln,,3,152,Eldert Lane
153 153rd Ave,Howard Beach,NY,11414,153rd Ave,,4,153,153rd Ave
153 153rd Pl,Jamaica,NY,11434,153rd Pl,,4,153,153rd Pl
