OBJECTID,boro,bct2020,centract2020
766,Brooklyn,3032600,36047032600
767,Brooklyn,3032800,36047032800
768,Brooklyn,3032900,36047032900
769,Brooklyn,3033000,36047033000
770,Brooklyn,3033100,36047033100
771,Brooklyn,3033300,36047033300
772,Brooklyn,3033500,36047033500
773,Brooklyn,3033600,36047033600
774,Brooklyn,3033701,36047033701
775,Brooklyn,3033702,36047033702
776,Brooklyn,3033900,36047033900
777,Brooklyn,3034000,36047034000
778,Brooklyn,3034100,36047034100
779,Brooklyn,3034200,36047034200
780,Brooklyn,3034300,36047034300
781,Brooklyn,3034500,36047034500
782,Brooklyn,3034700,36047034700
783,Brooklyn,3034901,36047034901
784,Brooklyn,3034902,36047034902
785,Brooklyn,3035000,36047035000
786,Brooklyn,3035101,36047035101
787,Brooklyn,3035102,36047035102
788,Brooklyn,3035200,36047035200
789,Brooklyn,3035301,36047035301
790,Brooklyn,3035302,36047035302
791,Brooklyn,3035400,36047035400
792,Brooklyn,3035500,36047035500
793,Brooklyn,3035601,36047035601
794,Brooklyn,3035602,36047035602
795,Brooklyn,3035701,36047035701
796,Brooklyn,3035702,36047035702
797,Brooklyn,3035900,36047035900
